Name,Discount_percentage,Price,Rating,Release,Ends,Started
"Warhammer 40,000: Inquisitor - Martyr",-80%,"R$ 26,99",74.16%,Jun 2018,,
Zoria: Age of Shattering,-40%,"R$ 44,39",74.06%,Mar 2024,,
Total War: ROME REMASTERED,-66%,"R$ 42,67",73.80%,Apr 2021,,
Corpse Party: Blood Drive,-60%,"R$ 15,19",72.78%,Oct 2019,,
UPPERS,-75%,"R$ 14,49",72.61%,Oct 2020,,
Land Above Sea Below,-55%,"R$ 11,92",72.10%,Sep 2023,,
AKIBA'S TRIP: Hellbound & Debriefed,-60%,"R$ 23,99",71.96%,Jul 2021,,
Total War: THREE KINGDOMS,-66%,"R$ 50,99",71.29%,May 2019,,
Touhou: New World,-60%,"R$ 35,99",70.44%,Jul 2023,,
A Total War Saga: TROY,-50%,"R$ 79,99",69.56%,Sep 2021,,
Mordheim: City of the Damned,-90%,"R$ 5,49",68.93%,Nov 2015,,
A Total War Saga: THRONES OF BRITANNIA,-75%,"R$ 24,99",68.93%,May 2018,,
Corpse Party 2: Dead Patient,-30%,"R$ 14,48",68.74%,Oct 2019,,
Medieval: Total War™ - Collection,-75%,"R$ 6,24",68.34%,Aug 2002,,
Weakless,-75%,"R$ 11,74",68.28%,Mar 2020,,
No More Heroes 2: Desperate Struggle,-50%,"R$ 49,99",68.05%,Jun 2021,,
Silent Hope,-70%,"R$ 41,99",66.71%,Oct 2023,,
DEADCRAFT,-75%,"R$ 14,99",66.70%,May 2022,,
Bullet Witch,-70%,"R$ 8,69",66.61%,Apr 2018,,
Undisputed,-20%,"R$ 199,20",65.69%,Oct 2024,,
Great Houses of Calderia,-60%,"R$ 25,99",65.62%,May 2024,,
Dustborn,-50%,"R$ 57,49",65.26%,Aug 2024,,
Ara: History Untold,-20%,"R$ 159,20",65.25%,Sep 2024,,
Total War: PHARAOH,-50%,"R$ 62,75",63.13%,Oct 2023,,
Little King's Story,-75%,"R$ 7,24",59.57%,Aug 2016,,
Telefrag VR,-75%,"R$ 8,24",57.07%,Jul 2019,,
Detached,-75%,"R$ 11,87",55.17%,May 2017,,
Loop8: Summer of Gods,-75%,"R$ 26,99",48.50%,Jun 2023,,
Papa's Freezeria Deluxe,-20%,"R$ 16,39",96.18%,Mar 2023,,
Garry's Mod,-40%,"R$ 15,59",96.04%,Nov 2006,,
Wobbledogs,-66%,"R$ 15,29",95.24%,Mar 2022,,
A Building Full of Cats,-20%,"R$ 4,72",94.96%,Jul 2022,,
Riddle Joker,-42%,"R$ 59,15",94.88%,Dec 2020,,
Left 4 Dead,-40%,"R$ 29,69",94.62%,Nov 2008,—,
Until Then,-25%,"R$ 44,99",94.45%,Jun 2024,,
Café Stella and the Reaper's Butterflies,-32%,"R$ 69,35",94.43%,Mar 2022,,
Aokana - Four Rhythms Across the Blue,-50%,"R$ 50,99",94.27%,Sep 2019,,
Tiny Glade,-10%,"R$ 42,29",94.14%,Sep 2024,,
Smushi Come Home,-20%,"R$ 47,99",93.99%,Jun 2023,,
Black Mesa,-75%,"R$ 14,99",93.95%,Mar 2020,,
Dungeon Munchies,-20%,"R$ 30,39",93.94%,Jul 2022,,
Minami Lane,-20%,"R$ 13,59",93.91%,Feb 2024,,
Monster Train,-70%,"R$ 22,19",93.77%,May 2020,,
Living With Sister: Monochrome Fantasy,-20%,"R$ 33,59",93.73%,Mar 2024,,
FlatOut 2,-70%,"R$ 20,99",93.72%,Aug 2006,—,
shapez,-80%,"R$ 6,59",93.71%,Jun 2020,,
OPUS: Echo of Starsong - Full Bloom Edition,-50%,"R$ 36,99",93.58%,Sep 2021,,
HROT,-35%,"R$ 38,99",93.51%,May 2023,,
Aokana - Four Rhythms Across the Blue - EXTRA1,-42%,"R$ 30,44",93.24%,Nov 2020,,
Pilgrims,-75%,"R$ 4,99",93.10%,Oct 2019,,
Peaks of Yore,-40%,"R$ 34,79",93.08%,Oct 2023,,
Machinarium,-80%,"R$ 10,99",93.06%,Oct 2009,,
Nova Drift,-30%,"R$ 38,49",92.99%,Aug 2024,,
Dream Ending,-40%,"R$ 7,20",92.86%,Jul 2019,,
Seal World,-20%,"R$ 13,59",92.65%,Dec 2023,,
XCOM: Enemy Unknown,-80%,"R$ 13,99",92.62%,Oct 2012,,
Arctic Eggs,-20%,"R$ 26,39",92.49%,May 2024,,
ARMORED HEAD,-40%,"R$ 6,53",92.48%,Jul 2020,,
Yellow Taxi Goes Vroom,-20%,"R$ 41,99",92.42%,Apr 2024,,
Botanicula,-80%,"R$ 7,99",92.40%,May 2012,,
No Time,-20%,"R$ 18,23",92.35%,Apr 2019,,
Rain World,-55%,"R$ 33,29",92.20%,Mar 2017,,
Symphony of War: The Nephilim Saga,-50%,"R$ 29,99",92.15%,Jun 2022,,
The Procession to Calvary,-55%,"R$ 13,49",92.10%,Apr 2020,,
Shogun Showdown,-20%,"R$ 37,59",91.93%,Sep 2024,,
inbento,-75%,"R$ 4,24",91.90%,Sep 2019,,
Disco Elysium - The Final Cut,-75%,"R$ 18,87",91.90%,Oct 2019,,
泡沫冬景,-55%,"R$ 13,04",91.87%,Jan 2020,,
Magical Girl Celesphonia,-25%,"R$ 28,49",91.86%,May 2022,,
Long Live The Queen,-65%,"R$ 9,09",91.84%,Nov 2013,,
Kinkoi: Golden Loveriche,-38%,"R$ 63,23",91.73%,Jun 2021,,
My Brother Rabbit,-75%,"R$ 7,24",91.69%,Sep 2018,,
Scalak,-50%,"R$ 5,24",91.68%,May 2018,,
Duck Detective: The Secret Salami,-15%,"R$ 28,04",91.64%,May 2024,,
The Darkside Detective: A Fumble in the Dark,-50%,"R$ 23,49",91.61%,Apr 2021,,
Beat Hazard,-70%,"R$ 9,89",91.58%,Apr 2010,,
STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,-65%,"R$ 11,54",91.52%,Feb 2005,in 3 days,5 hours ago
Wingspan,-50%,"R$ 29,99",91.51%,Sep 2020,in 12 days,2 days ago
FIND ALL 4: Magic,-26%,"R$ 5,17",91.48%,Sep 2023,in 7 days,6 days ago
Creaks,-75%,"R$ 13,74",91.41%,Jul 2020,in 3 days,11 days ago
Behind the Frame: The Finest Scenery,-40%,"R$ 25,19",91.41%,Aug 2021,in 6 days,yesterday
Necesse,-35%,"R$ 30,54",91.38%,Dec 2019,in 3 days,11 days ago
Sledders,-20%,"R$ 59,19",91.38%,Dec 2023,in 5 days,2 days ago
"Cook, Serve, Delicious!",-80%,"R$ 3,99",91.23%,Oct 2013,in 3 days,4 days ago
Meg's Monster,-15%,"R$ 39,94",91.22%,Mar 2023,in 5 days,2 days ago
Kinkoi: Golden Time,-37%,"R$ 56,06",91.18%,Jul 2022,in 3 days,4 days ago
Gaokao.Love.100Days,-40%,"R$ 17,40",91.14%,May 2015,in 3 days,4 days ago
Tiny Snow,-40%,"R$ 7,20",91.13%,Feb 2019,in 3 days,4 days ago
Zenge,-50%,"R$ 3,49",91.09%,Apr 2016,in 3 days,4 days ago
Card Survival: Tropical Island,-50%,"R$ 23,74",91.06%,Sep 2022,in 7 days,6 hours ago
Hamidashi Creative,-30%,"R$ 62,29",91.06%,Sep 2022,in 3 days,4 days ago
The Darkside Detective,-55%,"R$ 21,14",91.05%,Jul 2017,in 6 days,yesterday
I wanna be the Creator,-30%,"R$ 8,67",91.03%,Nov 2019,,
Trepang2,-50%,"R$ 64,50",91.01%,Jun 2023,,
Terminus: Zombie Survivors,-25%,"R$ 44,99",90.90%,Aug 2024,,
Samorost 3,-80%,"R$ 10,99",90.80%,Mar 2016,,
Grim Legends 2: Song of the Dark Swan,-70%,"R$ 14,09",90.80%,Sep 2014,,
